시도별,주요 업종별,2018,2019,2020,2021,2022
서울특별시,합계,39658,40615,43207,45664,48628
부산광역시,합계,13257,13558,14752,16560,18245
대구광역시,합계,9311,9456,10290,11396,12632
인천광역시,합계,11295,11482,12887,14726,16508
광주광역시,합계,6183,6234,6968,7609,8370
대전광역시,합계,6552,6415,6940,7602,8278
울산광역시,합계,5165,5258,5538,6163,6662
세종특별자치시,합계,1402,1463,1684,1918,2223
경기도,합계,52390,54586,60707,68624,76453
강원도,합계,7117,7509,7904,8744,9673
충청북도,합계,6799,7116,7806,8587,9481
충청남도,합계,9606,9636,10343,11440,12663
전라북도,합계,7018,7060,7768,8564,9490
전라남도,합계,6598,6488,7274,8177,9068
경상북도,합계,10144,10248,11159,12484,13844
경상남도,합계,14582,14776,15908,17840,19462
제주특별자치도,합계,3022,3288,3737,4142,4634
